operation,classification,evidence,action
POST /api/portal-central/articles,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/articles/{id}/archive,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/articles/{id}/publish,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/articles/{id}/rate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/faqs,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/notifications,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/notifications/{id}/read,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/tickets,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/tickets/{id}/assign,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/tickets/{id}/rate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/tickets/{id}/responses,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/portal-central/users,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/portal-central/users/{id}/activate,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/portal-central/users/{id}/lock,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/portal-central/users/{id}/unlock,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/portal-central/users/{userid}/notifications/read-all,documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/predictive-analytics/analyze,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/predictive-analytics/connectors/recommendations,documented elsewhere,docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/predictive-analytics/issue-detection/scan,documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/predictive-analytics/performance/analyze,documented elsewhere,docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/predictive-analytics/workflow/analyze,documented elsewhere,docs/milestones/week-7-completion.md,retain baseline until represented in openapi.full.yaml
POST /api/quality-central/coas,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/coas/{id}/reject,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/coas/{id}/verify,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/defects/{id}/resolve,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/holds,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/holds/{id}/reject,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/holds/{id}/release,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/holds/{id}/request-release,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/inspections,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/inspections/{id}/results,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/quality-central/inspections/{id}/start,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/reconciliation-center/exceptions/{id}/resolve,documented elsewhere,docs/review/A_GRADE_EVIDENCE_CROSSWALK.md; docs/superpowers/plans/2026-05-23-parked-post-demo-tier-b-work.md; docs/superpowers/plans/2026-07-22-f3-governance-lineage-reconciliation-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/reconciliation-center/schedules,documented elsewhere,docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md; docs/superpowers/specs/2026-05-30-reconciliation-embedded-followups-design.md,retain baseline until represented in openapi.full.yaml
POST /api/roi-dashboard/calculate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/service-central/dispatch,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/service-central/work-orders,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/service-central/work-orders/{id}/complete,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/service-central/work-orders/{id}/find-technician,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/settings/mcp,documented elsewhere,docs/MCP-USER-SETTINGS-GUIDE.md; docs/architecture/MCP-GATEWAY-ARCHITECTURE.md; docs/superpowers/plans/2026-07-14-settings-mutation-authorization-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/settings/mcp/reset,documented elsewhere,docs/MCP-USER-SETTINGS-GUIDE.md; docs/superpowers/plans/2026-07-14-settings-mutation-authorization-plan.md; docs/superpowers/specs/2026-07-14-settings-mutation-authorization-design.md,retain baseline until represented in openapi.full.yaml
POST /api/shipstation/orders/{orderid}/ship,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/shipstation/rates,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/shipstation/shipments/{shipmentid}/void,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/squire/suitecentral/netsuite/sync/sync,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/netsuite/sync/sync,documented elsewhere,docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/connector/bulk-import,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/connector/test-connection,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/connector/webhooks,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/credentials,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/credentials/{profileid}/rotate,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/environments,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/monitoring/alerts/{alertid}/resolve,documented elsewhere,docs/developer/api-reference.md; docs/superpowers/plans/2026-07-14-suitecentral-control-plane-security-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/monitoring/{environmentid}/start,documented elsewhere,docs/developer/api-reference.md; docs/superpowers/plans/2026-07-14-suitecentral-control-plane-security-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/monitoring/{environmentid}/stop,documented elsewhere,docs/developer/api-reference.md; docs/superpowers/plans/2026-07-14-suitecentral-control-plane-security-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/prod/templates,documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
POST /api/suitecentral/sync,documented elsewhere,docs/demos/SQUIRE-SUITECENTRAL-DEMO-GUIDE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/documents/{documentid}/parse,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/netsuite/batch-sync,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/supplier-central/public/register,documented elsewhere,docs/guides/SECURITY-AND-RATE-LIMITING.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/purchase-orders,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/purchase-orders/{poid}/acknowledge,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/purchase-orders/{poid}/asn,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/purchase-orders/{poid}/sync-netsuite,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/bulk-approve,documented elsewhere,docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/bulk-sync,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/supplier-central/vendors/{vendorid}/ai-recommend,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/{vendorid}/approve,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/{vendorid}/documents,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/{vendorid}/reject,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/{vendorid}/sync,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/supplier-central/vendors/{vendorid}/sync-netsuite,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-central/alerts/{alertid}/acknowledge,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-central/subscriptions,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-central/subscriptions/{subscriptionid}/cancel,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-central/subscriptions/{subscriptionid}/usage,documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-error-assist/ingest,documented elsewhere,docs/operations/SYNC-ERROR-ASSIST-WEBHOOK-SUITESCRIPT.md; docs/plans/2026-05-13-wave2-evidence-addendum-plan.md; docs/superpowers/plans/2026-05-07-sync-error-ai-assist-pr17a.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-error-assist/suggestions/{errorrecordid}/accept,documented elsewhere,docs/adr/ADR-018-embedded-erp-surface-contract.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md; docs/superpowers/specs/2026-05-07-sync-error-ai-assist-design.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-error-assist/suggestions/{errorrecordid}/escalate,documented elsewhere,docs/adr/ADR-018-embedded-erp-surface-contract.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md; docs/superpowers/specs/2026-05-07-sync-error-ai-assist-design.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-error-assist/suggestions/{errorrecordid}/reject,documented elsewhere,docs/adr/ADR-018-embedded-erp-surface-contract.md; docs/superpowers/plans/2026-08-01-f6-pr4-stage4-strict-compatible-routing.md; docs/superpowers/specs/2026-05-07-sync-error-ai-assist-design.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-orchestrator/conflicts/{conflictid}/ai-suggest,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/sync-orchestrator/conflicts/{conflictid}/resolve,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/sync-orchestrator/operations,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-31-f6-subproject-b-pr3-design.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-orchestrator/operations/{id}/execute,documented elsewhere,docs/superpowers/plans/2026-07-31-f6-subproject-b-pr3.md; docs/superpowers/specs/2026-07-31-f6-subproject-b-pr3-design.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-orchestrator/schemas,documented elsewhere,docs/CHANGELOG.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/sync-orchestrator/schemas/validate,documented elsewhere,docs/CHANGELOG.md; docs/features/GRAND-UNIFIED-STRATEGY-GUIDE.md,retain baseline until represented in openapi.full.yaml
POST /api/templates,documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/templates/export,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/templates/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/templates/migrate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/templates/search,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/templates/{key}/clone,documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
POST /api/test-connection,documented elsewhere,docs/review/route-tenant-coverage.md; docs/tutorials/23-draft-management-and-connection-testing.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
POST /api/testing/mcp-schema,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md; docs/guides/SECURITY-AND-RATE-LIMITING.md,retain baseline until represented in openapi.full.yaml
POST /api/testing/run,documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/api-reference.md; docs/developer/claude-instructions.md,retain baseline until represented in openapi.full.yaml
POST /api/upload/api/file-upload/convert,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/upload/api/file-upload/data/import,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/upload/api/file-upload/field-mappings/export,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/upload/api/file-upload/field-mappings/import,documented elsewhere,docs/review/2026-09-12-maintenance-csv.md,retain baseline until represented in openapi.full.yaml
POST /api/upload/api/file-upload/validate,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
POST /api/workflow-central/definitions,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/definitions/{id}/deprecate,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/definitions/{id}/publish,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/definitions/{id}/steps,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/instances,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/instances/{id}/cancel,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/instances/{id}/pause,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/instances/{id}/resume,documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md; docs/plans/2026-05-15-workflow-central-instance-durability-plan.md; docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/tasks/{id}/complete,documented elsewhere,docs/CODEX-WORKING-NOTES.md; docs/plans/2026-05-14-workflow-central-operator-promotion-plan.md; docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
POST /api/workflow-central/tasks/{id}/delegate,documented elsewhere,docs/CODEX-WORKING-NOTES.md; docs/plans/2026-05-14-workflow-central-operator-promotion-plan.md; docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
PUT /api/ai/proxy/provider-config,documented elsewhere,docs/adr/ADR-014-canonical-ai-router-family.md; docs/superpowers/plans/2026-07-21-f2-ai-proxy-postures.md,retain baseline until represented in openapi.full.yaml
PUT /api/contract-central/contracts/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/customer-central/customers/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/dashboard/templates/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
PUT /api/data-migration/plans/{planid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/feature-flags/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/week4/WEEK4-MIGRATION-CHECKLIST.md,retain baseline until represented in openapi.full.yaml
PUT /api/mcp/policies,documented elsewhere,docs/CHANGELOG.md; docs/MCP-USER-SETTINGS-GUIDE.md; docs/api/API-DOCUMENTATION.md,retain baseline until represented in openapi.full.yaml
PUT /api/mdm/rules,documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
PUT /api/persistence/templates/{id},documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
PUT /api/persistence/workflows/{id},documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
PUT /api/portal-central/articles/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/portal-central/tickets/{id}/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/portal-central/users/{id},documented elsewhere,docs/superpowers/plans/2026-07-27-f5b-central-families-strict.md,retain baseline until represented in openapi.full.yaml
PUT /api/service-central/dispatches/{id}/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/service-central/technicians/{id}/status,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/service-central/work-orders/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
PUT /api/suitecentral/prod/environments/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
PUT /api/suitecentral/prod/monitoring/config/{environmentid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
PUT /api/supplier-central/vendors/{vendorid},documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/superpowers/plans/2026-05-31-central-attribution-and-claims-gate.md,retain baseline until represented in openapi.full.yaml
PUT /api/templates/{key},documented elsewhere,docs/CHANGELOG.md; docs/architecture/ARCHITECTURE.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
PUT /api/workflow-central/definitions/{id},documented elsewhere,docs/plans/2026-05-14-workflow-central-operator-promotion-spec.md,retain baseline until represented in openapi.full.yaml
UNRESOLVED regexp_path /^(.*)$/,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
UNRESOLVED unresolved_mount_prefix <unresolved>,active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
